Variable,English,Spanish
title,MassAccess: File Court Forms Online, 
desc,Most court buildings in Massachusetts are closed. This site offers you a way to reach the court during the COVID-19 crisis. It provides court forms and self-help materials for areas of urgent legal need., 
ma_icon,Massachusetts State icon, 
language,Language,Idioma
languages,Languages,Idiomas
about_us,About Us,Quienes Somos
my_forms,My Forms,Mis Formularios
homepage,home page, 
alert_test,<b>This page is not active.</b> This page is just for testing purposes. <b>DO NOT RELY ON THE CONTENT FOUND HERE!</b>,<b>Esta página no está activa ¡Las entrevistas enlazadas aquí no funcionan!</b> Esta página es solo para fines de prueba.
alert_1,"<div class=""alert_1"" role=""complementary""><b>We are working to build online interviews for existing court forms during the COVID-19 crisis.</b> As we finish new forms, they will be added here.
</div>","<div class=""alert_1"" role=""complementary""><b>Estamos trabajando para construir entrevistas en líneas para los formularios judiciales existentes durante la crisis de COVID-19.</b> A medida que terminemos los nuevos formularios, se agregan aquí.
</div>"
alert_2,"<div  class=""alert_2"" role=""complementary""><b>THIS CONTENT IS NOT AVAILABLE YET. We are in the process of adding content.</b> Please, consider calling the Court's Helpline.
</div>", 
message,"    <h1>File court forms online during the emergency</h1>
      <p>
        Most court buildings in Massachusetts are closed. This site offers a way for you to reach the court during the COVID-19 crisis. It provides court forms and self-help materials for areas of urgent legal need.  <b><i>Please select a category to get started.</i></b>
      </p>","    <h1>Presentar formularios de la corte en línea durante la emergencia</h1>
      <p>
        La mayoría de los edificios judiciales en Massachusetts están cerrados. Este sitio le ofrece una manera de llegar a la corte durante la crisis de COVID-19. Proporciona formularios de la corte y materiales de autoayuda para áreas de necesidad legal urgente.   <b><i>Seleccione una categoría para comenzar.</i></b>
      </p>"
housing_alt,Housing icon, 
housing,Housing,Alojamiento
dv_alt,"Domestic Violence icon, grayed out", 
dv,Domestic Violence,"Violencia Domestica
"
guardianship_alt,"Guardianship icon, grayed out", 
guardianship,Guardianship,"
Guarda y Custodia"
family_alt,"Family Law icon, grayed out", 
family,Family Law,"Ley Familiar
"
employment_alt,"Employment / Unemployment icon, grayed out", 
employment,Employment / Unemployment,Empleo / Desempleo
consumer_alt,"Consumer and Debt icon, grayed out", 
consumer,Consumer &amp; Debt,Deuda
health_alt,"Health and Mental Health icon, grayed out", 
health,Health and Mental Health,Salud y Salud Mental
income_alt,"Income and Benefits icon, grayed out", 
income,Income and Benefits,Ingreso y Beneficios
immigration_alt,"Immigration icon, grayed out", 
immigration,Immigration,Inmigración
education_alt,"Education icon, grayed out", 
education,Education,Educación
safety_alt,"Safter of Others icon, grayed out", 
safety,Safety of Others,Seguridad de Otros
other_alt,"Other icon, grayed out", 
other,Other,Más
hide_cat,Hide Categories,Esconde Categorias
show_cat,Show Categories,Muestra Categorias
lit_logo,LIT lab logo, 
suffolk_law,suffolk law logo, 
docassemble_logo,docassemble logo, 
a2j_logo,A2J logo, 
gbls_logo,GBLS logo, 
nela_logo,Northeastern Legal Aid,
mlri_logo,MLRI logo, 
tp_logo,Theory and Principle logo, 
nulawlab_logo,NuLawLab logo, 
cl_logo,Community.Lawyer logo, 
documate_logo,Documate logo, 
tos,Privacy Policy &amp; Terms of Use,Política de Privacidad y Términos de Uso
contact,Contact Us,Contacte con Nosotros
how,How It Works,Como funciona
step_1_alt,finger tapping icon, 
