Variable,counts,English,anchor,list,Spanish,
in_progress_msg,,"We are still in the process of creating an interactive version of this form (based on <a href=""%spdfs/%s"" target=""_blank"" onClick=""gtag('event', 'download', {'event_category':'pdf', 'event_label':'%s'});"">this English PDF</a>).",,,,"For each new form: 
(1) create five new rows at the bottom of the sheet: form_n_title, form_n_desc, form_n_link, form_n_base_pdf,  and form_n_categories, where n is the next number in the list of forms (e.g., if you added these rows after ones including form_10_link you would use 11.
(2) Add a ""-1: to the ""counts"" column in the title row. Then add a title description in the appropriate rows under the English Column. 
(3) After consulting the categories/tags tab for available tags, add all that apply to the category row. "
form_1_title,10,Request for a Temporary Restraining Order,TRO,,Orden de restricción temporal,
form_1_desc,,"<p>Ask the judge to order your landlord to stop doing things that are illegal -  like locking you out, shutting off your utilities, refusing to make emergency repairs, and other things that stop you from feeling like your home is your own. This last is called,  ""Interfering with your right to quiet enjoyment.""</p>
<p>The name of the form is VERIFIED COMPLAINT AND MOTIONS FOR TEMPORARY RESTRAINING ORDER AND PRELIMINARY INJUNCTION FOR PROTECTION FROM UNLAWFUL EVICTION, UTILITY TERMINATION, OR BREACH OF QUIET ENJOYMENT G.L. c. 186, §14</p>",,,"Contiene quejas y solicitudes de órdenes temporales y permanentes, requerimiento judicial preliminar necesario para buscar alivio inmediato para cierres patronales, reparaciones de emergencia, cortes de servicios públicos y similares.",
form_1_link,,https://apps.suffolklitlab.org/start/housing_tro,,,,
form_1_base_pdf,,https://www.masslegalhelp.org/housing/lt1-form-15-tro.pdf,,,,
form_1_categories,,housing,,,,
form_2_title,-1,Housing Stay of Execution,,,,
form_2_desc,,"<p>If you lost your eviction case or agreed in court to a judgment to move out and you need more time to move, you can ask a judge to postpone your eviction.</p>
<p>You have 10 days to file this form. Sometimes you can take longer to file, but the longer you wait, the harder it is to get the order.</p>
<p>A judge can allow you to stay a maximum of 6 months—or 12 months if you or someone in your household is over 60 or has a physical or mental disability.</p>",,,,
form_2_link,,,,,,
form_2_base_pdf,,https://trello-attachments.s3.amazonaws.com/5e7a59002834604886a7b4e8/5e82560ff37c0b1eb34c1be1/d786fecc38a35ab8dbc12b811b163ea8/lt1-booklet-8-stay_(original).pdf,,,,
